Date,Close,Open,High,Low,Volume,Change,Stock,Sector,Sentiment,News_Count,Sentiment_Impact,Sentiment_Rolling,News_Exposure,Returns,Volatility
2023-03-20,837.55,836.0,841.0,825.55,10740000.0,0.02,AXBK,Bank,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-21,855.6,840.1,857.35,838.75,11490000.0,2.16,AXBK,Bank,0,0.0,0.0,0.0,0.0,0.02155095218195946,0.0
2023-03-22,849.65,855.6,859.8,847.05,8020000.0,-0.7,AXBK,Bank,0,0.0,0.0,0.0,0.0,-0.0069541841982234676,0.0
2023-03-23,848.8,847.0,861.15,845.1,9860000.0,-0.1,AXBK,Bank,0,0.0,0.0,0.0,0.0,-0.0010004119343258733,0.0
2023-03-24,839.9,846.25,852.5,837.25,8080000.0,-1.05,AXBK,Bank,0,0.0,0.0,0.0,0.0,-0.010485391140433564,0.0
2023-03-27,833.35,841.05,842.2,829.2,10600000.0,-0.78,AXBK,Bank,0,0.0,0.0,0.0,0.0,-0.007798547446124515,0.013040045297842036
2023-03-28,832.45,837.4,837.4,826.05,11000000.0,-0.11,AXBK,Bank,0,0.0,0.0,0.0,0.0,-0.0010799784004319468,0.004243477143552535
2023-03-29,842.6,832.5,848.45,830.0,17120000.0,1.22,AXBK,Bank,0,0.0,0.0,0.0,0.0,0.012192924499969893,0.00877839656257916
2023-03-31,858.5,854.9,860.9,847.5,12950000.0,1.89,AXBK,Bank,0,0.0,0.0,0.0,0.0,0.018870163778780036,0.012740717111880885
2023-04-03,864.6,864.0,866.8,856.45,13270000.0,0.71,AXBK,Bank,0,0.0,0.0,0.0,0.0,0.007105416423995425,0.010555100127355357
2023-04-05,860.5,871.0,871.0,857.0,11890000.0,-0.47,AXBK,Bank,0,0.0,0.0,0.0,0.0,-0.0047420772611612705,0.009612914860230791
2023-04-06,851.95,861.8,863.25,849.0,19680000.0,-0.99,AXBK,Bank,0,0.0,0.0,0.0,0.0,-0.009936083672283491,0.011896335957678203
2023-04-10,847.35,854.8,854.95,843.95,15660000.0,-0.54,AXBK,Bank,0,0.0,0.0,0.0,0.0,-0.005399377897764013,0.011725815348713788
2023-04-11,853.3,848.25,855.7,844.05,23930000.0,0.7,AXBK,Bank,0,0.0,0.0,0.0,0.0,0.007021891780256029,0.007795498621087665
2023-04-12,851.05,854.9,856.65,846.65,13480000.0,-0.26,AXBK,Bank,0,0.0,0.0,0.0,0.0,-0.0026368217508496716,0.006272467912962499
2023-04-13,864.35,853.65,867.7,845.0,23930000.0,1.56,AXBK,Bank,0,0.0,0.0,0.0,0.0,0.01562775395100169,0.010295508526468475
2023-04-17,864.55,882.0,882.0,861.0,22580000.0,0.02,AXBK,Bank,0,0.0,0.0,0.0,0.0,0.00023138774801867434,0.008450140388674438
2023-04-18,863.35,865.35,872.0,857.1,17240000.0,-0.14,AXBK,Bank,0,0.0,0.0,0.0,0.0,-0.001388005320686947,0.007605183786641204
2023-04-19,873.4,865.0,874.5,862.55,23490000.0,1.16,AXBK,Bank,0,0.0,0.0,0.0,0.0,0.011640701916951324,0.00834341480339443
